scenario,controller,step,ax,ay,acceleration_magnitude
scenario_2,SAC,38,-0.44345855712890625,0.6608486175537109,0.7958495020866394
scenario_2,SAC,39,0.5071640014648438,0.7087230682373047,0.8714951276779175
scenario_2,SAC,40,0.6747722625732422,0.7819175720214844,1.0328178405761719
scenario_2,SAC,41,-0.9527206420898438,-0.7976055145263672,1.2425180673599243
scenario_2,SAC,42,-0.7363319396972656,0.10142326354980469,0.7432842254638672
scenario_2,SAC,43,0.07276535034179688,0.6690025329589844,0.6729481220245361
scenario_2,SAC,44,-0.9054660797119141,-0.913238525390625,1.2860300540924072
scenario_2,SAC,45,-0.6960868835449219,-0.4298686981201172,0.8181222677230835
scenario_2,SAC,46,0.324249267578125,0.34165382385253906,0.47102540731430054
scenario_2,SAC,47,0.6758689880371094,0.6613731384277344,0.9456285238265991
scenario_2,SAC,48,0.9640216827392578,-0.9640216827392578,1.3633325099945068
scenario_2,SAC,49,0.9640693664550781,-0.8433818817138672,1.2809070348739624
scenario_2,SAC,50,0.9123325347900391,-0.047206878662109375,0.9135530591011047
scenario_2,SAC,51,0.8377552032470703,0.6478786468505859,1.059046983718872
scenario_2,SAC,52,0.8441448211669922,-0.9640216827392578,1.2813736200332642
scenario_2,SAC,53,0.5339622497558594,-0.9542465209960938,1.0934816598892212
scenario_2,SAC,54,0.23365020751953125,-0.3825664520263672,0.4482739269733429
scenario_2,SAC,55,0.9640216827392578,-0.8783340454101562,1.3041504621505737
scenario_2,SAC,56,0.9640216827392578,-0.06051063537597656,0.9659188985824585
scenario_2,SAC,57,0.9591579437255859,0.6200790405273438,1.142139196395874
scenario_2,SAC,58,0.8072376251220703,0.7321357727050781,1.0897960662841797
scenario_2,SAC,59,-0.6607532501220703,-0.5742073059082031,0.8753907084465027
scenario_2,SAC,60,-0.3646373748779297,0.4539012908935547,0.5822257399559021
scenario_2,SAC,61,-0.1731395721435547,0.6851673126220703,0.7067047357559204
scenario_2,SAC,62,-0.9640216827392578,-0.5291461944580078,1.0996969938278198
scenario_2,SAC,63,-0.88348388671875,0.18362998962402344,0.9023656249046326
scenario_2,SAC,64,-0.4008769989013672,0.4718303680419922,0.619133472442627
scenario_2,SAC,65,0.8825778961181641,0.0072956085205078125,0.8826080560684204
scenario_2,SAC,66,0.4065513610839844,0.5764484405517578,0.7053912281990051
scenario_2,SAC,67,0.21810531616210938,0.7708072662353516,0.8010703921318054
scenario_2,SAC,68,0.9640216827392578,-0.0026226043701171875,0.9640252590179443
scenario_2,SAC,69,0.9640216827392578,0.3399848937988281,1.0222169160842896
scenario_2,SAC,70,0.9640216827392578,0.4718780517578125,1.0733157396316528
scenario_2,SAC,71,0.9640216827392578,0.18062591552734375,0.9807974100112915
scenario_2,SAC,72,0.9640216827392578,0.2654075622558594,0.9998894929885864
scenario_2,SAC,73,0.937652587890625,-0.08563995361328125,0.941555380821228
scenario_2,SAC,74,0.9640216827392578,-0.5851268768310547,1.127701759338379
scenario_2,SAC,75,0.9640216827392578,-0.48618316650390625,1.079681396484375
scenario_2,SAC,76,0.8394241333007812,0.16341209411621094,0.8551821112632751
scenario_2,SAC,77,0.170135498046875,0.40950775146484375,0.4434441030025482
scenario_2,SAC,78,-0.16193389892578125,0.5812883377075195,0.6034225225448608
scenario_2,SAC,79,0.9640693664550781,0.24690628051757812,0.9951846599578857
scenario_2,SAC,80,0.7313251495361328,0.3500223159790039,0.8107725381851196
